sku,barcode,title,url_handle,price_bgn,price_eur,brand,manufacturer,category,tags,target_audience,form,description,composition,usage,contraindications,image_url,status,is_otc
4462.0,3600524034368.0,Loreal dermo age expert 55+ околоочен крем 15мл,loreal-dermo-age-expert-55-okoloocen-krem-15ml,27.38,13.96,LOREAL,LOREAL Баркод : 3600524034368,,"Козметика, красота и лична хигиена, Грижа за лице, Грижа за околоочната зона, Кремове за околоочната зона",Възрастни,Крем,"LOREAL Dermo age 55+ околоочен крем, е подходящ за всеки тип зряла кожа. Намалява бръчките - броят и големината на бръчките около очите са видимо намалени. Намалява тъмните кръгове - торбичките и подпухналата кожа намаляват, а кожата изглежда отпочинала. Тонизира - кожата изглежда по-стегната. Специалната формула съдържа пептиди, които действат овлажняващо, изглаждащо и подмладяващо. Вложен е кофеин, който тонизира кожата около очите и намалява тъмните кръгове. Той притежава още хидратиращи, регенериращи и анти-ейдж свойства.","Пептиди, кофеин.","Нанасяйте всяка сутрин и вечер зоната около очите. Внимателно потупвайте крема с върховете на пръстите си, докато се абсорбира.","Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънчева светлина. За външна употреба, избягвайте контакт с очите. Съхранявайте при температура под 25 градуса. Да не се използва след изтичане на крайния срок.",https://benu.bg/media/cache/product_view_default/images/products/4462/4462.webp,Active,True
4463.0,3600523408948.0,Loreal dermo age expert 65+ дневен крем 50мл,loreal-dermo-age-expert-65-dneven-krem-50ml,36.4,18.56,LOREAL,LOREAL Баркод : 3600523408948,,"Козметика, красота и лична хигиена, Грижа за лице, Кремове и флуиди за лице, Кремове за лице",Възрастни,Крем,"LOREAL Dermo age expert 65+ дневен крем, подходящ за дамите над 65 години, за всеки тип кожа. Възстановява и укрепва кожата. Намалява бръчките. Изсветлява старческите петна. Включеното масло от ший притежава силни регенериращи, стягащи и антиоксидантни свойства. Екстрактите от лайка, коприва, бреза и от цветове на кактус овлажняват и подмладяват кожата, възвръщат нейната еластичност, мекота и сияен вид. Комплекс от витамин Е и провитамин В5 подсилва регенериращите процеси и подобрява естествената защитна бариера на кожата.","Масло от ший, екстракт от лайка, екстракт коприва, екстракт от бреза, цветове на катус, витамин Е, провитамин В5.",Нанесете сутрин с кръгови движения върху почистената кожа на лицето и шията.,"Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънчева светлина. За външна употреба, избягвайте контакт с очите. Съхранявайте при температура под 25 градуса. Да не се използва след изтичане на крайния срок.",https://benu.bg/media/cache/product_view_default/images/products/4463/4463.webp,Active,True
4464.0,3600523408979.0,Loreal dermo age expert 65+ нощен крем 50мл,loreal-dermo-age-expert-65-nosen-krem-50ml,19.79,10.09,LOREAL,LOREAL Баркод : 3600523408979,,"Козметика, красота и лична хигиена, Грижа за лице, Кремове и флуиди за лице, Кремове за лице",Възрастни,Крем,"LOREAL Dermo age expert 65+ нощен крем, подходящ за дамите над 65 години, за всеки тип кожа. Възстановява и укрепва кожата. Намалява бръчките. Изсветлява старческите петна. Включеното масло от ший притежава силни регенериращи, стягащи и антиоксидантни свойства. Екстрактите от лайка, коприва, бреза и от цветове на кактус овлажняват и подмладяват кожата, възвръщат нейната еластичност, мекота и сияен вид. Комплекс от витамин Е и провитамин В5 подсилва регенериращите процеси и подобрява естествената защитна бариера на кожата.","Масло от ший, екстракт от лайка, екстракт коприва, екстракт от бреза, цветове на катус, витамин Е, провитамин В5.",Нанесете сутрин с кръгови движения върху почистената кожа на лицето и шията.,"Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънчева светлина. За външна употреба, избягвайте контакт с очите. Съхранявайте при температура под 25 градуса. Да не се използва след изтичане на крайния срок.",https://benu.bg/media/cache/product_view_default/images/products/4464/4464.webp,Active,True
4466.0,3600523751563.0,Loreal dermo age expert хартиена маска 55+ 30гр,loreal-dermo-age-expert-hartiena-maska-55-30gr,82.89,42.27,LOREAL,LOREAL Баркод : 3600523751563,,"Козметика, красота и лична хигиена, Грижа за лице, Маски за лице",Възрастни,Маска,"LOREAL Dermo age хартиена маска, подходяща за дамите над 55 години, за всеки тип кожа. Стяга, уплътнява кожата и подобрява хидратацията. Увеличава еластичността, намалява фините бръчки. Подобрява тонуса. Вложеното оризово масло действа антиоксидантно, регенериращо и успокояващо. Хиалуронова киселина изглажда, хидратира и подобрява плътността на кожата. Добавеният аденозин има мощен енергизиращ ефект.","Mасло от кайсиеви ядки, оризово масло, хиалуронова киселина, аденозин.",Внимателно поставете маската на почистена кожа. Нагласете маската по контурите на лицето. Оставете маската за 15 минути и след това я отстранете. Нежно втрийте останалото количество от формулата в кожата на лицето и шията или я отстранете с памучен тампон.,"Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънчева светлина. За външна употреба, избягвайте контакт с очите. Съхранявайте при температура под 25 градуса. Да не се използва след изтичане на крайния срок.",https://benu.bg/media/cache/product_view_default/images/products/4466/4466-lorealagespec55-mask.jpg,Active,True
4468.0,3600524013462.0,Loreal dermo age perfect cell renewal дневен крем 50мл,loreal-dermo-age-perfect-cell-renewal-dneven-krem-50ml,94.99,48.44,LOREAL,LOREAL Баркод : 3600524013462,,"Козметика, красота и лична хигиена, Грижа за лице, Кремове и флуиди за лице, Кремове за лице",Възрастни,Крем,"LOREAL Dermo Age дневен крем, подходящ за всеки тип кожа, включително чувствителна. Регенерира и подхранва в дълбочина. Хидратира и подобрява еластичността и плътността на кожата, като я прави мека и гладка. С антиоксидантен ефект. Той комбинира 2 мощни антиоксиданта: неохеспердин (патентован антиоксидант от L'Oreal), който е извлечен от горчив портокал и витамин Е, който повишава защитата срещу увреждане от свободните радикали. Хиалуронова киселина - съставка, добре известна със своите хидратиращи свойства, която помага за задържане на влагата в кожата.","Антиоксидантен възстановителен комплекс (неохеспердин + витамин Е), хиалуронова киселина.","Нанасяйте всеки ден с кръгови движения върху добре почистена кожа на лицето и шията. Използвайте в комбинация с останалите продукти от серията ""Loreal Age Perfect"".","Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънчева светлина. За външна употреба, избягвайте контакт с очите. Съхранявайте при температура под 25 градуса. Да не се използва след изтичане на крайния срок.",https://benu.bg/media/cache/product_view_default/images/products/4468/4468.webp,Active,True
4469.0,3600524013455.0,Loreal dermo age perfect cell renewal нощен крем 50мл,loreal-dermo-age-perfect-cell-renewal-nosen-krem-50ml,11.48,5.85,LOREAL,LOREAL Баркод : 3600524013455,,"Козметика, красота и лична хигиена, Грижа за лице, Кремове и флуиди за лице, Кремове за лице",Възрастни,Крем,"LOREAL Dermo Age нощен крем, подходящ за всеки тип кожа, включително чувствителна. Регенерира и подхранва в дълбочина. Хидратира и подобрява еластичността и плътността на кожата, като я прави мека и гладка. С антиоксидантен ефект. Той комбинира 2 мощни антиоксиданта: неохеспердин (патентован антиоксидант от L'Oreal), който е извлечен от горчив портокал и витамин Е, който повишава защитата срещу увреждане от свободните радикали. Хиалуронова киселина - съставка, добре известна със своите хидратиращи свойства, която помага за задържане на влагата в кожата.","Антиоксидантен възстановителен комплекс (неохеспердин + витамин Е), хиалуронова киселина.","Нанасяйте всяка вечер с кръгови движения върху добре почистена кожа на лицето и шията. Използвайте в комбинация с останалите продукти от серията ""Loreal Age Perfect"".","Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънчева светлина. За външна употреба, избягвайте контакт с очите. Съхранявайте при температура под 25 градуса. Да не се използва след изтичане на крайния срок.",https://benu.bg/media/cache/product_view_default/images/products/4469/4469.webp,Active,True
4467.0,3600524012601.0,Loreal dermo age perfect midnight серум 30мл,loreal-dermo-age-perfect-midnight-serum-30ml,43.18,22.02,LOREAL,LOREAL Баркод : 3600524012601,,"Козметика, красота и лична хигиена, Грижа за лице, Серуми, коректори и други продукти за лице, Серуми",Възрастни,Серум,"LOREAL Dermo Age midnight serum, формулиран с антиоксидантен възстановяващ комплекс, този мощен серум против стареене действа през нощта, когато кожата достигне своя връх на клетъчно обновяване. Той помага за разкриване на милиони нови повърхностни клетки, за видимо по-стегната, гладка и сияйна кожа. Серумът е ефективен при всички тонове и типове кожа, включително чувствителна. Формулата е тествана за алергии и е без съдържание на парабени и минерално масло.",,"Нанесете 3-4 капки върху чиста и суха кожа всяка сутрин и вечер, преди ежедневна грижа. Нанесете върху лицето и шията.","Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънчева светлина. За външна употреба, избягвайте контакт с очите. Съхранявайте при температура под 25 градуса. Да не се използва след изтичане на крайния срок.",https://benu.bg/media/cache/product_view_default/images/products/4467/4467.webp,Active,True
4500.0,3600524234447.0,Loreal dermo почистващ лосион за очи и устни 125мл,loreal-dermo-pocistvas-losion-za-oci-i-ustni-125ml,42.19,21.52,LOREAL,LOREAL Баркод : 3600524234447,,"Козметика, красота и лична хигиена, Грижа за лице, Почистване на кожата и премахване на грим, Други продукти за почистване на лице",Възрастни,Лосион,"LOREAL Dermo почистващ лосион за очи и устни е идеален за всеки тип кожа, премахва всички следи от грим, от лицето и очите. Почиства и отстранява водоустойчивия грим. Успокоява, тонизира и хидратира кожата. Уникална структура на две фази, която съчетава ефикасност при почистване на грима и нежност без мазен ефект: тъмната фаза, богата на нежни масла, отстранява ефикасно водоустойчивите и трайни гримове; светлата фаза е много мек лосион, който дава усещане за свежест.",Меки масла.,"Разклатете лосиона преди употреба, до получаване на хомогенен цвят. Напоете обилно памучен тампон с хомогенизираната смес и нежно почистете. Ако се наложи, повторете с нов тампон.","Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънчева светлина. За външна употреба, избягвайте контакт с очите.",https://benu.bg/media/cache/product_view_default/images/products/4500/4500.webp,Active,True
4480.0,3600520160764.0,Loreal dermo revitalift дневен крем 50мл,loreal-dermo-revitalift-dneven-krem-50ml,13.59,6.93,LOREAL,LOREAL Баркод : 3600520160764,,"Козметика, красота и лична хигиена, Грижа за лице, Кремове и флуиди за лице, Кремове за лице",Възрастни,Крем,"LOREAL Revitalift нощен крем идеален за дамите след 40+ години, за всеки тип кожа. Интензивно стяга, намалява бръчките, повишава плътността на кожата. Хидратира и тонизира. Специалната му формула е обогатена с Pro-Retinol A, действа в слоевете на кожата, като видимо намалява бръчките и повишава плътността на кожата, като я повдига.","Pro-Retinol A, фиброеластил комплекс.",Нанасяйте всяка сутрин на добре почистено лице и шия.,"Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънчева светлина. За външна употреба, избягвайте контакт с очите. Съхранявайте при температура под 25 градуса. Да не се използва след изтичане на крайния срок.",https://benu.bg/media/cache/product_view_default/images/products/4480/4480.webp,Active,True
4493.0,3600523550746.0,Loreal dermo revitalift fill дневен крем 50мл,loreal-dermo-revitalift-fill-dneven-krem-50ml,26.99,13.76,LOREAL,LOREAL Баркод : 3600523550746,,"Козметика, красота и лична хигиена, Грижа за лице, Кремове и флуиди за лице, Кремове за лице",Възрастни,Крем,"LOREAL Dermo Revitalift FILL дневен крем намалява видимостта на бръчките. Възстановява обема и контурът на кожата изглежда оформен. Най-високата концентрация на хиалуронова киселина в крем за лице на L’Oreal Paris. Хидратира кожата, намалява видимостта на бръчките. Обогатен с Fibroxyl, стяга кожата, прави я по-гладка и контурът на лицето изглежда по-добре очертан.",Хиалуронова киселина и Фиброксил.,"Нанесете крем на почистено лице с нежни кръгови масажни движения, като избягвате зоната около очите.","Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънчева светлина. За външна употреба, избягвайте контакт с очите. Съхранявайте при температура под 25 градуса. Да не се използва след изтичане на крайния срок.",https://benu.bg/media/cache/product_view_default/images/products/4493/4493.webp,Active,True
4492.0,3600524025540.0,Loreal dermo revitalift fill околоочен серум 20мл,loreal-dermo-revitalift-fill-okoloocen-serum-20ml,3.6,1.84,LOREAL,LOREAL Баркод : 3600524025540,,"Козметика, красота и лична хигиена, Грижа за лице, Грижа за околоочната зона, Пачове и други продукти за околоочната зона",Възрастни,Серум,"LOREAL Dermo Revitalift fill околоочен серум, подходящ за всеки тип кожа. Видимо изсветлява тъмните кръгове. Запълва фините линии, чрез интензивна хидратация. Намалява торбичките. Специалната формула съдържа 1.5% чиста хиалуронова киселина, която дълбоко овлажнява, изглажда и запълва фините линии. Вложен е 1% чист кофеин, който енергизира кожата и спомага за намаляване вида на тъмните кръгове и торбичките под очите. Добавени са ниацинамид (Витамин В3) + витамин Cg, които засилват изветляващия ефект върху кожата.",Хиалуронова киселина и Кофеин.,"Нанасяйте всяка сутрин и вечер върху добре почистена и подсушена кожа. Масажирайте с тройния апликатор зоната от вътрешния ъгъл на окото до слепоочието с малки кръгови движения. Повторете 4 пъти. Внимателно нанесете върху клепачите, за да ги повдигнете.","Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънчева светлина. За външна употреба, избягвайте контакт с очите. Съхранявайте при температура под 25 градуса. Да не се използва след изтичане на крайния срок.",https://benu.bg/media/cache/product_view_default/images/products/4492/4492.webp,Active,True
4498.0,3600524238506.0,Loreal dermo revitalift fill серум против бръчки 30мл,loreal-dermo-revitalift-fill-serum-protiv-br-cki-30ml,120.89,61.65,LOREAL,LOREAL Баркод : 3600524238506,,"Козметика, красота и лична хигиена, Грижа за лице, Серуми, коректори и други продукти за лице, Серуми",Възрастни,Серум,"LOREAL Dermo Revitalift fill серум против бръчки възстановява влажността на кожата и възвръща нейната жизненост, младежки вид и еластичност. Формулата е създадена за ефикасна борба против бръчките. За всички типове кожа. Бързо попива. Без мазни следи. 1,5% ХИАЛУРОНОВА КИСЕЛИНА.",,Два пъти дневно нанасяйте 2-3 капки върху почистена и подсушена кожа на лицето и шията. След това нанесете крем.,"Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънчева светлина. За външна употреба, избягвайте контакт с очите. Съхранявайте при температура под 25 градуса. Да не се използва след изтичане на крайния срок.",https://benu.bg/media/cache/product_view_default/images/products/4498/4498.webp,Active,True
4497.0,3600522892342.0,Loreal dermo revitalift fill серум16мл,loreal-dermo-revitalift-fill-serum16ml,63.49,32.38,LOREAL,LOREAL Баркод : 3600522892342,,"Козметика, красота и лична хигиена, Грижа за лице, Серуми, коректори и други продукти за лице, Серуми",Възрастни,,"LOREAL Dermo Revitalift FILL серум намалява видимоста на бръчките. Възстаноява обема и контурът на лицето изглежда оформен. Нашата най-висока концентрация на хиалуронова киселина: Този серум е с висока концентрация на хиалуронова киселина. Хидратира кожата, намалява видимоста на бръчките. Кожата изглежда по-плътна, по-еластична, контурите изглеждат по-добре дефинирани.",Хиалуронова киселина.,"Нанесете леко върху добре почистеното лице и/или шия, самостоятелно или преди крема за лице.","Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънчева светлина. За външна употреба, избягвайте контакт с очите. Съхранявайте при температура под 25 градуса. Да не се използва след изтичане на крайния срок.",https://benu.bg/media/cache/product_view_default/images/products/4497/4497-lorealserumrenew.jpg,Active,True
4496.0,3600524013554.0,Loreal dermo revitalift filler хартиена маска 15мл,loreal-dermo-revitalift-filler-hartiena-maska-15ml,50.38,25.69,LOREAL,LOREAL Баркод : 3600524013554,,"Козметика, красота и лична хигиена, Грижа за лице, Маски за лице",Възрастни,Маска,"LOREAL Dermo Revitalift FILLER хартиена маска подходяща за всеки тип кожа. С охлаждащ ефект. Изглажда и запълва фините линии. Моментално намалява подпухналостта. Хидратира в дълбочина и намалява видимостта на торбичките под очите. Специалната формула съдържа хиалуронова киселина, която дълбоко овлажнява, изглажда и запълва фините линии. Вложен е кофеин, който енергизира кожата около очите, действа подмладяващо, регенериращо и хидратиращо. Добавени са глицерин и пантенол, които имат овлажняващи и успокояващи свойства.","Кофеин, Глицерин, Пантенол и Хиалуронова киселина.","Отворете маската и я нанесете върху чиста и суха кожа около очите. Оставете да действа за 15 минути. Отстранете маската и втрийте остатъка от серума в кожата. Като ежедневна грижа използвайте околоочния серум от серията ""L'Oreal Revitalift Filler HA"".","Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънчева светлина. За външна употреба, избягвайте контакт с очите. Съхранявайте при температура под 25 градуса. Да не се използва след изтичане на крайния срок.",https://benu.bg/media/cache/product_view_default/images/products/4496/4496-lorealmaskfiller.jpg,Active,True
4491.0,3600523201310.0,Loreal dermo revitalift filler околоочна грижа 15мл,loreal-dermo-revitalift-filler-okoloocna-griza-15ml,135.79,69.25,LOREAL,LOREAL Баркод : 3600523201310,,"Козметика, красота и лична хигиена, Грижа за лице, Грижа за околоочната зона, Кремове за околоочната зона",Възрастни,,"LOREAL Dermo Revitalift filler за околоочна грижа е създаден да коригира бръчките и загубата на плътност в деликатната зона около очите. Формулата му е снабдена с висока концентрация на хиалуронова киселина за оптимална хидратация. При ежедневна употреба торбичките са намалени, а околоочния контур е по-гладък и плътен.",Хиалуронова киселина.,"Прилагайте сутрин и вечер. Внимателно изстискайте епруветката, така че да се освободи малко количество крем, след което използвайте апликатора, за да поставите върху вътрешната зона на околоочния контур. Внимателно масажирайте към външния ъгъл с помощта на апликатора.","Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънчева светлина. За външна употреба, избягвайте контакт с очите. Съхранявайте при температура под 25 градуса. Да не се използва след изтичане на крайния срок.",https://benu.bg/media/cache/product_view_default/images/products/4491/4491-lorealfillereye.jpg,Active,True
4495.0,3600523550784.0,Loreal dermo revitalift filler renew нощен крем 50мл,loreal-dermo-revitalift-filler-renew-nosen-krem-50ml,73.28,37.37,LOREAL,LOREAL Баркод : 3600523550784,,"Козметика, красота и лична хигиена, Грижа за лице, Кремове и флуиди за лице, Кремове за лице",Възрастни,Крем,"LOREAL Dermo revitalift нощен крем RENEW за всеки тип кожа. Подобрява плътността и еластичността на кожата. Намалява видимостта на бръчките. Интензивно хидратира, придава на кожата естествен младежки вид. Формулата е обогатена с концентрирана чиста хиалуронова киселина и глицерин, известни с мощното действие против бръчки, помагат на кожата да поддържа своята еластичност, като и придават допълнителна гладкост и мекота.",Хиалуронова киселина и глицерин.,Нанасяйте крема всяка вечер върху добре почистената кожа на лицето и шията. Масажирайте с леки кръгови движения до пълното му абсорбиране.,"Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънчева светлина. За външна употреба, избягвайте контакт с очите. Съхранявайте при температура под 25 градуса. Да не се използва след изтичане на крайния срок.",https://benu.bg/media/cache/product_view_default/images/products/4495/4495.webp,Active,True
4494.0,3600523982745.0,Loreal dermo revitalift filler spf 50 дневен крем 50мл,loreal-dermo-revitalift-filler-spf-50-dneven-krem-50ml,19.99,10.19,LOREAL,LOREAL Баркод : 3600523982745,,"Козметика, красота и лична хигиена, Грижа за лице, Кремове и флуиди за лице, Кремове за лице",Възрастни,Крем,"LOREAL Dermo Revitalift filler дневен крем, подходящ за всеки тип кожа. Възстановява плътността на кожата и я изглажда. С много висок слънцезащитен фактор SPF50. Специалната формула съдържа 3 вида хиалуронова киселина, която притежава подмладяващи, тонизиращи и противовъзпалителни свойства. Тя интензивно хидратира, изглажда и омекотява кожата. Вложени в състава са още глицерин, който действа овлажняващо и антисептично и витамин Е, който има антиоксидантни, регенериращи и подмладяващи свойства.","Глицерин, Витамин Е и хиалуронова киселина.",Нанасяйте ежедневно върху старателно почистени лице и шия.,"Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънчева светлина. За външна употреба, избягвайте контакт с очите. Съхранявайте при температура под 25 градуса. Да не се използва след изтичане на крайния срок.",https://benu.bg/media/cache/product_view_default/images/products/4494/4494.webp,Active,True
